Movie Name,Movie Description,Movie Age Rate,Movie Duration,Movie Genres,Movie Directors,Movie Stars,Movie Rate
Inception,"
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",PG-13,148 min,"Action, Adventure, Sci-Fi",Christopher Nolan,"Leonardo DiCaprio, 
Joseph Gordon-Levitt, 
Elliot Page, 
Ken Watanabe",8.8
The Wolf of Wall Street,"
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",R,180 min,"Biography, Comedy, Crime",Martin Scorsese,"Leonardo DiCaprio, 
Jonah Hill, 
Margot Robbie, 
Matthew McConaughey",8.2
Top Gun: Maverick,"
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.",PG-13,130 min,"Action, Drama",Joseph Kosinski,"Tom Cruise, 
Jennifer Connelly, 
Miles Teller, 
Val Kilmer",8.3
Everything Everywhere All at Once,"
A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.",R,139 min,"Action, Adventure, Comedy","Daniel Kwan, 
Daniel Scheinert","Michelle Yeoh, 
Stephanie Hsu, 
Jamie Lee Curtis, 
Ke Huy Quan",7.8
The Dark Knight Rises,"
Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane.",PG-13,164 min,"Action, Drama, Thriller",Christopher Nolan,"Christian Bale, 
Tom Hardy, 
Anne Hathaway, 
Gary Oldman",8.4
Once Upon a Time in Hollywood,"
A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.",R,161 min,"Comedy, Drama",Quentin Tarantino,"Leonardo DiCaprio, 
Brad Pitt, 
Margot Robbie, 
Emile Hirsch",7.6
Pulp Fiction,"
The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",R,154 min,"Crime, Drama",Quentin Tarantino,"John Travolta, 
Uma Thurman, 
Samuel L. Jackson, 
Bruce Willis",8.9
Gladiator,"
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.",R,155 min,"Action, Adventure, Drama",Ridley Scott,"Russell Crowe, 
Joaquin Phoenix, 
Connie Nielsen, 
Oliver Reed",8.5
The Exorcist,"
When a young girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",R,122 min,Horror,William Friedkin,"Ellen Burstyn, 
Max von Sydow, 
Linda Blair, 
Lee J. Cobb",8.1
Joker,"
During the 1980's, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",R,122 min,"Crime, Drama, Thriller",Todd Phillips,"Joaquin Phoenix, 
Robert De Niro, 
Zazie Beetz, 
Frances Conroy",8.4
The Goonies,"
A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.",PG,114 min,"Adventure, Comedy, Family",Richard Donner,"Sean Astin, 
Josh Brolin, 
Jeff Cohen, 
Corey Feldman",7.7
Titanic,"
A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.",PG-13,194 min,"Drama, Romance",James Cameron,"Leonardo DiCaprio, 
Kate Winslet, 
Billy Zane, 
Kathy Bates",7.9
Inglourious Basterds,"
In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.",R,153 min,"Adventure, Drama, War",Quentin Tarantino,"Brad Pitt, 
Diane Kruger, 
Eli Roth, 
Mélanie Laurent",8.3
Jurassic Park,"
A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.",PG-13,127 min,"Action, Adventure, Sci-Fi",Steven Spielberg,"Sam Neill, 
Laura Dern, 
Jeff Goldblum, 
Richard Attenborough",8.2
Indiana Jones and the Raiders of the Lost Ark,"
In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.",PG,115 min,"Action, Adventure",Steven Spielberg,"Harrison Ford, 
Karen Allen, 
Paul Freeman, 
John Rhys-Davies",8.4
Tombstone,"
A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",R,130 min,"Biography, Drama, History","George P. Cosmatos, 
Kevin Jarre","Kurt Russell, 
Val Kilmer, 
Sam Elliott, 
Bill Paxton",7.8
The Banshees of Inisherin,"
Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them.",R,114 min,"Comedy, Drama",Martin McDonagh,"Colin Farrell, 
Brendan Gleeson, 
Kerry Condon, 
Pat Shortt",7.7
Man on Fire,"
In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.",R,146 min,"Action, Crime, Drama",Tony Scott,"Denzel Washington, 
Christopher Walken, 
Dakota Fanning, 
Radha Mitchell",7.7
The Lord of the Rings: The Fellowship of the Ring,"
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.",PG-13,178 min,"Action, Adventure, Drama",Peter Jackson,"Elijah Wood, 
Ian McKellen, 
Orlando Bloom, 
Sean Bean",8.8
Fight Club,"
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.",R,139 min,Drama,David Fincher,"Brad Pitt, 
Edward Norton, 
Meat Loaf, 
Zach Grenier",8.8
Batman Begins,"
After witnessing his parents' death, Bruce learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends to destroy the city.",PG-13,140 min,"Action, Crime, Drama",Christopher Nolan,"Christian Bale, 
Michael Caine, 
Ken Watanabe, 
Liam Neeson",8.2
Forrest Gump,"
The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",PG-13,142 min,"Drama, Romance",Robert Zemeckis,"Tom Hanks, 
Robin Wright, 
Gary Sinise, 
Sally Field",8.8
Pride & Prejudice,"
Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",PG,129 min,"Drama, Romance",Joe Wright,"Keira Knightley, 
Matthew Macfadyen, 
Brenda Blethyn, 
Donald Sutherland",7.8
American Psycho,"
A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",R,102 min,"Crime, Drama, Horror",Mary Harron,"Christian Bale, 
Justin Theroux, 
Josh Lucas, 
Bill Sage",7.6
Heat,"
A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.",R,170 min,"Action, Crime, Drama",Michael Mann,"Al Pacino, 
Robert De Niro, 
Val Kilmer, 
Jon Voight",8.3
Prisoners,"
When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",R,153 min,"Crime, Drama, Mystery",Denis Villeneuve,"Hugh Jackman, 
Jake Gyllenhaal, 
Viola Davis, 
Melissa Leo",8.1
Se7en,"
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",R,127 min,"Crime, Drama, Mystery",David Fincher,"Morgan Freeman, 
Brad Pitt, 
Kevin Spacey, 
Andrew Kevin Walker",8.6
Stand by Me,"
After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",R,89 min,"Adventure, Comedy, Drama",Rob Reiner,"Wil Wheaton, 
River Phoenix, 
Corey Feldman, 
Jerry O'Connell",8.1
No Country for Old Men,"
Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.",R,122 min,"Crime, Drama, Thriller","Ethan Coen, 
Joel Coen","Tommy Lee Jones, 
Javier Bardem, 
Josh Brolin, 
Woody Harrelson",8.2
Schindler's List,"
In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",R,195 min,"Biography, Drama, History",Steven Spielberg,"Liam Neeson, 
Ralph Fiennes, 
Ben Kingsley, 
Caroline Goodall",9.0
American Beauty,"
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.",R,122 min,Drama,Sam Mendes,"Kevin Spacey, 
Annette Bening, 
Thora Birch, 
Wes Bentley",8.3
Pirates of the Caribbean: The Curse of the Black Pearl,"
Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",PG-13,143 min,"Action, Adventure, Fantasy",Gore Verbinski,"Johnny Depp, 
Geoffrey Rush, 
Orlando Bloom, 
Keira Knightley",8.1
The Prestige,"
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",PG-13,130 min,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Christian Bale, 
Hugh Jackman, 
Scarlett Johansson, 
Michael Caine",8.5
The Notebook,"
A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way.",PG-13,123 min,"Drama, Romance",Nick Cassavetes,"Gena Rowlands, 
James Garner, 
Rachel McAdams, 
Ryan Gosling",7.8
Blade Runner 2049,"
Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",R,164 min,"Action, Drama, Mystery",Denis Villeneuve,"Harrison Ford, 
Ryan Gosling, 
Ana de Armas, 
Dave Bautista",8.0
Gone Girl,"
With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",R,149 min,"Drama, Mystery, Thriller",David Fincher,"Ben Affleck, 
Rosamund Pike, 
Neil Patrick Harris, 
Tyler Perry",8.1
Jaws,"
When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",PG,124 min,"Adventure, Mystery, Thriller",Steven Spielberg,"Roy Scheider, 
Robert Shaw, 
Richard Dreyfuss, 
Lorraine Gary",8.1
Get Out,"
A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",R,104 min,"Horror, Mystery, Thriller",Jordan Peele,"Daniel Kaluuya, 
Allison Williams, 
Bradley Whitford, 
Catherine Keener",7.8
Alien,"
The crew of a commercial spacecraft encounters a deadly lifeform after investigating an unknown transmission.",R,117 min,"Horror, Sci-Fi",Ridley Scott,"Sigourney Weaver, 
Tom Skerritt, 
John Hurt, 
Veronica Cartwright",8.5
Oldboy,"
After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",R,120 min,"Action, Drama, Mystery",Park Chan-wook,"Choi Min-sik, 
Yoo Ji-tae, 
Kang Hye-jeong, 
Kim Byeong-Ok",8.4
The Silence of the Lambs,"
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",R,118 min,"Crime, Drama, Thriller",Jonathan Demme,"Jodie Foster, 
Anthony Hopkins, 
Lawrence A. Bonney, 
Kasi Lemmons",8.6
Ferris Bueller's Day Off,"
A popular high school student, admired by his peers, decides to take a day off from school and goes to extreme lengths to pull it off, to the chagrin of his Principal, who'll do anything to stop him.",PG-13,103 min,Comedy,John Hughes,"Matthew Broderick, 
Alan Ruck, 
Mia Sara, 
Jeffrey Jones",7.8
Spider-Man: Into the Spider-Verse,"
Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",PG,117 min,"Animation, Action, Adventure","Bob Persichetti, 
Peter Ramsey, 
Rodney Rothman","Shameik Moore, 
Jake Johnson, 
Hailee Steinfeld, 
Mahershala Ali",8.4
Spider-Man: No Way Home,"
With Spider-Man's identity now revealed, Peter asks Doctor Strange for help. When a spell goes wrong, dangerous foes from other worlds start to appear, forcing Peter to discover what it truly means to be Spider-Man.",PG-13,148 min,"Action, Adventure, Fantasy",Jon Watts,"Tom Holland, 
Zendaya, 
Benedict Cumberbatch, 
Jacob Batalon",8.2
Parasite,"
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.",R,132 min,"Drama, Thriller",Bong Joon Ho,"Song Kang-ho, 
Lee Sun-kyun, 
Cho Yeo-jeong, 
Choi Woo-sik",8.5
The Departed,"
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.",R,151 min,"Crime, Drama, Thriller",Martin Scorsese,"Leonardo DiCaprio, 
Matt Damon, 
Jack Nicholson, 
Mark Wahlberg",8.5
Sin City,"
An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",R,124 min,"Crime, Thriller","Frank Miller, 
Quentin Tarantino, 
Robert Rodriguez","Mickey Rourke, 
Clive Owen, 
Bruce Willis, 
Jessica Alba",8.0
Goodfellas,"
The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",R,145 min,"Biography, Crime, Drama",Martin Scorsese,"Robert De Niro, 
Ray Liotta, 
Joe Pesci, 
Lorraine Bracco",8.7
Saw,"
Two strangers awaken in a room with no recollection of how they got there, and soon discover they're pawns in a deadly game perpetrated by a notorious serial killer.",R,103 min,"Horror, Mystery, Thriller",James Wan,"Cary Elwes, 
Leigh Whannell, 
Danny Glover, 
Ken Leung",7.6
Taxi Driver,"
A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",R,114 min,"Crime, Drama",Martin Scorsese,"Robert De Niro, 
Jodie Foster, 
Cybill Shepherd, 
Albert Brooks",8.2
Amadeus,"
The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him.",R,160 min,"Biography, Drama, Music",Milos Forman,"F. Murray Abraham, 
Tom Hulce, 
Elizabeth Berridge, 
Roy Dotrice",8.4
The Matrix,"
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",R,136 min,"Action, Sci-Fi","Lana Wachowski, 
Lilly Wachowski","Keanu Reeves, 
Laurence Fishburne, 
Carrie-Anne Moss, 
Hugo Weaving",8.7
Avengers: Endgame,"
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",PG-13,181 min,"Action, Adventure, Drama","Anthony Russo, 
Joe Russo","Robert Downey Jr., 
Chris Evans, 
Mark Ruffalo, 
Chris Hemsworth",8.4
Requiem for a Dream,"
The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.",R,102 min,Drama,Darren Aronofsky,"Ellen Burstyn, 
Jared Leto, 
Jennifer Connelly, 
Marlon Wayans",8.3
Puss in Boots: The Last Wish,"
When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.",PG,102 min,"Animation, Adventure, Comedy","Joel Crawford, 
Januel Mercado","Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh",7.8
Black Swan,"
Nina is a talented but unstable ballerina on the verge of stardom. Pushed to the breaking point by her artistic director and a seductive rival, Nina's grip on reality slips, plunging her into a waking nightmare.",R,108 min,"Drama, Thriller",Darren Aronofsky,"Natalie Portman, 
Mila Kunis, 
Vincent Cassel, 
Winona Ryder",8.0
Back to the Future,"
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.",PG,116 min,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Michael J. Fox, 
Christopher Lloyd, 
Lea Thompson, 
Crispin Glover",8.5
Wind River,"
A wildlife officer, who is haunted by a tragedy that happened because of him, teams up with an FBI agent in solving a murder of a young woman on a Wyoming Native American reservation and hopes to get redemption from his past regrets.",R,107 min,"Crime, Drama, Mystery",Taylor Sheridan,"Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille",7.7
Saving Private Ryan,"
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",R,169 min,"Drama, War",Steven Spielberg,"Tom Hanks, 
Matt Damon, 
Tom Sizemore, 
Edward Burns",8.6
Children of Men,"
In 2027, in a chaotic world in which women have somehow become infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",R,109 min,"Action, Drama, Sci-Fi",Alfonso Cuarón,"Julianne Moore, 
Clive Owen, 
Chiwetel Ejiofor, 
Michael Caine",7.9
Django Unchained,"
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.",R,165 min,"Drama, Western",Quentin Tarantino,"Jamie Foxx, 
Christoph Waltz, 
Leonardo DiCaprio, 
Kerry Washington",8.5
Lost in Translation,"
A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.",R,102 min,"Comedy, Drama",Sofia Coppola,"Bill Murray, 
Scarlett Johansson, 
Giovanni Ribisi, 
Anna Faris",7.7
Drive,"
A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.",R,100 min,"Action, Drama",Nicolas Winding Refn,"Ryan Gosling, 
Carey Mulligan, 
Bryan Cranston, 
Albert Brooks",7.8
Aftersun,"
Sophie reflects on the shared joy and private melancholy of a holiday she took with her father twenty years earlier. Memories real and imagined fill the gaps between as she tries to reconcile the father she knew with the man she didn't...",R,102 min,Drama,Charlotte Wells,"Paul Mescal, 
Frankie Corio, 
Celia Rowlson-Hall, 
Sally Messham",7.7
Superbad,"
Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.",R,113 min,Comedy,Greg Mottola,"Michael Cera, 
Jonah Hill, 
Christopher Mintz-Plasse, 
Bill Hader",7.6
Whiplash,"
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.",R,106 min,"Drama, Music",Damien Chazelle,"Miles Teller, 
J.K. Simmons, 
Melissa Benoist, 
Paul Reiser",8.5
Aliens,"
Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.",R,137 min,"Action, Adventure, Sci-Fi",James Cameron,"Sigourney Weaver, 
Michael Biehn, 
Carrie Henn, 
Paul Reiser",8.4
Guardians of the Galaxy,"
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.",PG-13,121 min,"Action, Adventure, Comedy",James Gunn,"Chris Pratt, 
Vin Diesel, 
Bradley Cooper, 
Zoe Saldana",8.0
2001: A Space Odyssey,"
After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000.",G,149 min,"Adventure, Sci-Fi",Stanley Kubrick,"Keir Dullea, 
Gary Lockwood, 
William Sylvester, 
Daniel Richter",8.3
Mad Max: Fury Road,"
In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.",R,120 min,"Action, Adventure, Sci-Fi",George Miller,"Tom Hardy, 
Charlize Theron, 
Nicholas Hoult, 
Zoë Kravitz",8.1
Memento,"
A man with short-term memory loss attempts to track down his wife's murderer.",R,113 min,"Mystery, Thriller",Christopher Nolan,"Guy Pearce, 
Carrie-Anne Moss, 
Joe Pantoliano, 
Mark Boone Junior",8.4
La La Land,"
While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",PG-13,128 min,"Comedy, Drama, Music",Damien Chazelle,"Ryan Gosling, 
Emma Stone, 
Rosemarie DeWitt, 
J.K. Simmons",8.0
Good Will Hunting,"
Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.",R,126 min,"Drama, Romance",Gus Van Sant,"Robin Williams, 
Matt Damon, 
Ben Affleck, 
Stellan Skarsgård",8.3
The Shining,"
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",R,146 min,"Drama, Horror",Stanley Kubrick,"Jack Nicholson, 
Shelley Duvall, 
Danny Lloyd, 
Scatman Crothers",8.4
Léon: The Professional,"
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",R,110 min,"Action, Crime, Drama",Luc Besson,"Jean Reno, 
Gary Oldman, 
Natalie Portman, 
Danny Aiello",8.5
Harry Potter and the Goblet of Fire,"
Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",PG-13,157 min,"Adventure, Family, Fantasy",Mike Newell,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Eric Sykes",7.7
Shutter Island,"
Teddy Daniels and Chuck Aule, two US marshals, are sent to an asylum on a remote island in order to investigate the disappearance of a patient, where Teddy uncovers a shocking truth about the place.",R,138 min,"Mystery, Thriller",Martin Scorsese,"Leonardo DiCaprio, 
Emily Mortimer, 
Mark Ruffalo, 
Ben Kingsley",8.2
The Princess Bride,"
A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG,98 min,"Adventure, Comedy, Family",Rob Reiner,"Cary Elwes, 
Mandy Patinkin, 
Robin Wright, 
Chris Sarandon",8.0
The Hangover,"
Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",R,100 min,Comedy,Todd Phillips,"Zach Galifianakis, 
Bradley Cooper, 
Justin Bartha, 
Ed Helms",7.7
The Gentlemen,"
An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",R,113 min,"Action, Comedy, Crime",Guy Ritchie,"Matthew McConaughey, 
Charlie Hunnam, 
Michelle Dockery, 
Jeremy Strong",7.8
Harry Potter and the Deathly Hallows: Part 2,"
Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",PG-13,130 min,"Adventure, Family, Fantasy",David Yates,"Daniel Radcliffe, 
Emma Watson, 
Rupert Grint, 
Michael Gambon",8.1
